"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"229,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"230,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"231,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"232,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"233,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"234,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"235,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"236,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"237,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"238,""12.602700"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
